time Ha FUV NUV u V J W3 UV+IR
0.28400000000000003 0.0002587059352791813 0.00014002865270551558 0.0003167648305610999 0.0004838357052895288 0.0007449846551338153 0.0006655233873669462 0.0 0.00024936885516994834
0.28500000000000003 0.0002577880373309435 0.00013889522465353456 0.00031518464113282406 0.0004821149749552492 0.0007432635174270508 0.0006645461202638234 0.0 0.0002483967272631542
0.28600000000000003 0.00025687335444339826 0.00013776576658534642 0.00031360998652999687 0.00048040027170979195 0.0007415484082359967 0.0006635722761698132 0.0 0.00024742800436475894
0.28700000000000003 0.000255961864172774 0.0001366402507871957 0.0003120408281149715 0.0004786915534791163 0.0007398392854766272 0.0006626018311895125 0.0 0.0002464626627049984
0.28800000000000003 0.0002550535443094983 0.00013551864983451237 0.0003104771276532822 0.0004769887786282012 0.0007381361075040793 0.0006616347616768256 0.0 0.00024550067876214215
0.289 0.0002541483728749379 0.00013440093658790298 0.0003089188473080553 0.00047529190595498337 0.0007364388331065398 0.0006606710442315658 0.0 0.0002445420292590519
0.29 0.00025324632811823136 0.00013328708418921628 0.00030736594963450144 0.0004736008946843703 0.0007347474214992544 0.0006597106556960329 0.0 0.00024358669115980545
0.291 0.0002523473885131281 0.00013217706605766097 0.00030581839757452627 0.0004719157044623471 0.0007330618323186531 0.0006587535731516712 0.0 0.00024263464166637415
0.292 0.0002514515327549245 0.0001310708558860151 0.0003042761544514345 0.0004702362953502202 0.0007313820256165954 0.0006577997739157956 0.0 0.0002416858582153564
0.293 0.00025055873975742536 0.00012996842763686125 0.00030273918396469363 0.00046856262781890613 0.000729707961854632 0.000656849235538371 0.0 0.00024074031847477422
0.294 0.0002496689886499718 0.00012886975553893913 0.00030120745018481895 0.0004668946627433868 0.000728039601898486 0.0006559019357988386 0.0 0.00023979800034091666
0.295 0.0002487822587745058 0.00012777481408350456 0.00029968091754833617 0.00046523236139719206 0.0007263769070125183 0.0006549578527029863 0.0 0.00023885888193523531
0.296 0.0002478985296826949 0.00012668357802079176 0.00029815955085281685 0.0004635756854470167 0.0007247198388543486 0.000654016964479887 0.0 0.0002379229416012986
0.297 0.0002470177811331133 0.0001255960223565082 0.0002966433152520176 0.000461924596947426 0.0007230683594695502 0.0006530792495789145 0.0 0.00023699015790180276
0.298 0.0002461399930884424 0.0001245121223484141 0.00029513217625108743 0.00046027905833560703 0.0007214224312864416 0.0006521446866667525 0.0 0.00023606050961561676
0.299 0.00024526514571274644 0.0001234318535029287 0.0002936260997018565 0.0004586390324262827 0.0007197820171109215 0.0006512132546244761 0.0 0.00023513397573488357
0.3 0.00024439321936877925 0.00012235519157182046 0.000292125051798209 0.00045700448240665434 0.0007181470801214694 0.0006502849325447252 0.0 0.00023421053546217666
0.301 0.00024352419461535162 0.00012128211254893702 0.00029062899907152844 0.0004553753718314165 0.000716517583864174 0.0006493596997288584 0.0 0.0002332901682077081
0.302 0.00024265805220470896 0.0001202125926669964 0.00028913790838622493 0.0004537516646179307 0.0007148934922478438 0.0006484375356841827 0.0 0.00023237285358655864
0.303 0.0002417947730799825 0.00011914660839441945 0.000287651746935315 0.0004521333250413857 0.0007132747695392132 0.000647518420121253 0.0 0.00023145857141596566
